name,city,address,lat,lon,video_url,embed_url
Tiệm Cô mèo, Gia Lai Province, "62 Vũ Bảo, Phường Quy Nhơn Nam, Thành phố Quy Nhơn, Gia Lai, Vietnam",13.766396,109.218148,https://www.tiktok.com/@tiem.co.meo/video/7420649307717635336,https://www.tiktok.com/embed/7420649307717635336
Nhặt Quài Biển, Gia Lai Province, "15/542 Võ Nguyên Giáp,",  14.512119472501649, 109.07986790906656, https://www.tiktok.com/@ggxhhbbjjkkaa1496/video/7537932284733754642, https://www.tiktok.com/embed/7537932284733754642
Miu Miu shop,Gia Lai Province , "36 Hà Huy Tập, Phường Quy Nhơn, Thành phố Quy Nhơn, Tỉnh Gia Lai", 13.771224249690755, 109.22589766782274, https://www.tiktok.com/@miumiu_quatang/video/7251824045606341894,https://www.tiktok.com/embed/7251824045606341894
Ngọc Hùng Shop,Gia Lai Province ,"37 Phan Bội Châu, Phường Quy Nhơn, Thành phố Quy Nhơn, Tỉnh Gia Lai",13.7739607538122, 109.23448530670474,https://www.tiktok.com/@quynhontv/video/7275210648492002561,https://www.tiktok.com/embed/7275210648492002561
Tiệm của Thim,Gia Lai Province,"68 Nguyễn Thị Minh Khai, Phường Quy Nhơn Nam, Thành phố Quy Nhơn, Tỉnh Gia Lai",13.769549310577622, 109.21806810589842,https://www.tiktok.com/@tiem.cua.thim/video/7544728118129331464,https://www.tiktok.com/embed/7544728118129331464
Làng Nón Ngựa Phú Gia,Gia Lai Province,"Xã Cát Tường, Huyện Phù Cát, Tỉnh Gia Lai",13.975453124855363, 109.09178600650343,https://www.tiktok.com/@dulichquynhon/video/7429955205866720529,https://www.tiktok.com/embed/7429955205866720529
Phim Ba:r,Gia Lai Province,"49 Hàm Nghi, Phường Quy Nhơn Nam, Thành phố Quy Nhơn, Tỉnh Gia Lai",13.767398599038989, 109.21780232918908,https://www.tiktok.com/@hiquynhon/video/7476071249404251399,https://www.tiktok.com/embed/7476071249404251399
Chợ Phù Cát,Gia Lai Province,"Ba Tháng Hai, Thị trấn Ngô Mây, Huyện Phù Cát, Tỉnh Gia Lai",13.998186798161619, 109.06036652924318,https://www.tiktok.com/@khvy_ng/video/7550249527517744402,https://www.tiktok.com/embed/7550249527517744402
Chợ đêm Quy Nhơn,Gia Lai Province,"86 Lê Duẩn, Phường Quy Nhơn, Thành phố Quy Nhơn, Tỉnh Gia Lai",13.764378404176508, 109.2211472448942,https://www.tiktok.com/@cu_lao_xanh_travel/video/7321342173276933394,https://www.tiktok.com/embed/7321342173276933394
Chợ Đầm,Gia Lai Province,"159 Hoàng Quốc Việt, Phường Quy Nhơn, Thành phố Quy Nhơn, Tỉnh Gia Lai",13.782766022762978, 109.22485375283843,https://www.tiktok.com/@travelqvietnam/video/7483522921521089800,https://www.tiktok.com/embed/7483522921521089800
