province,shop_name,city,address,category,lat,lon
Thua Thien Hue,Quà Luu Niệm Huế,,,gift,16.469751,107.5931435
Thua Thien Hue,Commini Mart,,,supermarket,16.3763908,107.7180982
Thua Thien Hue,,,,,16.2280207,107.8554811
Thua Thien Hue,Jesus Christ,,,,16.4580759,107.5964004
Thua Thien Hue,,,,,16.4568299,107.598151
Thua Thien Hue,,,,,16.4568692,107.5982439
Thua Thien Hue,,,,gift,16.3978753,107.590427
Thua Thien Hue,Amy Apartment,,,,16.461984,107.6165541
Thua Thien Hue,WinMart+,,,convenience,16.4685023,107.5963562
Thua Thien Hue,Nâu Coffee Shop,,Đặng Huy Trứ,,16.4445629,107.5863113
Thua Thien Hue,Siêu thị mini ozmart,,,convenience,16.465656,107.5946618
Thua Thien Hue,K Store Hue - Giant Bicycle Repair Shop,,Diên Biên Phu,bicycle,16.4577858,107.5809011
Thua Thien Hue,,,,,16.4327477,107.5658862
Thua Thien Hue,WinMart,,,supermarket,16.4630664,107.5944082
Thua Thien Hue,,,,,16.411776,107.576214
Thua Thien Hue,,,,,16.4118484,107.5760331
Thua Thien Hue,,,,gift,16.465721,107.5882802
Thua Thien Hue,Friendly Store,,,boutique,16.4702576,107.5950801
Thua Thien Hue,Viet Nam Gifts,Hué,Chu Van An,boutique,16.4702218,107.5949759
Thua Thien Hue,am pm mini mart,,,convenience,16.4700584,107.5950897
Da Nang,Karty Coffee,,,,16.0687729,108.2250396
Da Nang,WinMart+,,,convenience,16.0746199,108.1493819
Da Nang,,,,,15.8789576,108.3048545
Da Nang,,,Trần Phú,gift,15.87703,108.3268288
Da Nang,Golden Silk,,,clothes,15.8758819,108.326441
Da Nang,,,,art,15.8776618,108.3245464
Da Nang,Viet Handicraft Village,,,gift,15.8782533,108.3250454
Da Nang,Chợ Mai,,,,16.1002449,108.2525503
Da Nang,Mini Mart 4-U,,,convenience,15.8804044,108.3262614
Da Nang,Quốc Huy,,Hoàng Văn Thụ,clothes,15.8769903,108.3301144
Da Nang,Tương,Hội An,Trần Hưng Đạo,,15.8797619,108.3279698
Da Nang,Hung,,,clothes,16.068105,108.220681
Da Nang,Hoa Tho,,,clothes,16.06512,108.223352
Da Nang,Tam Thinh Loi,,,jewelry,16.068086,108.223626
Da Nang,Non Son,,,clothes,16.068519,108.223701
Da Nang,Le Pavillion Gallery Hotel & Spa,Hoi An,Nguyễn Duy Hiệu,,15.8784987,108.3378221
Da Nang,Hoi An Art Craft Manufacturing Workshop,,,craft,15.8766982,108.3307777
Da Nang,Silk Road,Hoi An,Nguyễn Thái Học,,15.8764973,108.3280082
Da Nang,PNJ,Đà Nẵng,Trần Phú,jewelry,16.0701285,108.2239216
Da Nang,PNJ,Hoi An,Hai Bà Trưng,jewelry,15.8802681,108.3268883
Da Nang,Unknown,,,,15.8805717,108.3140836
Da Nang,Heaven and Earth Tours,Hoi An,Ngô Quyền,,15.8744977,108.3266335
Da Nang,Shopi,Đà Nẵng,Sơn Thủy 8,supermarket,16.0101859,108.2535593
Da Nang,Zura Shop,Da Nang,Nguyễn Hoàng,,16.0604601,108.213586
